"","pitch_type","release_speed","release_pos_x","release_pos_y","release_pos_z"
"264","FF",93.7,-2.33,53.53,5.46
"265","ST",85.5,-2.42,53.54,5.51
"266","FF",97,-2.33,53.56,5.43
"267","ST",84.2,-2.28,53.61,5.58
"268","ST",83.3,-2.08,53.58,5.63
"269","ST",83.6,-2.39,53.57,5.52
"270","ST",84,-2.15,53.51,5.63
"271","FF",95,-1.96,53.42,5.8
"272","FF",97.2,-2.47,53.51,5.45
"273","FF",96.8,-2.18,53.47,5.56
"274","ST",84.8,-2.29,53.62,5.57
"275","ST",84.3,-2.35,53.83,5.51
"276","FF",97.7,-2.02,53.45,5.61
"277","FF",96.9,-2.07,53.42,5.63
"278","ST",82.7,-2.39,53.66,5.55
"279","ST",83.6,-2.32,53.68,5.61
"280","FF",93.8,-1.97,53.49,5.72
"281","FF",96.1,-2.17,53.52,5.6
"282","ST",83.4,-2.16,53.68,5.58
"283","ST",85.8,-2.34,53.72,5.56
"284","ST",84.8,-2.25,53.59,5.71
"285","ST",85.9,-2.27,53.58,5.61
"286","FF",97.3,-2.08,53.61,5.66
"287","ST",85.1,-2.42,53.49,5.48
"288","ST",82.8,-2.25,53.52,5.61
"289","FF",93.8,-1.93,53.52,5.75
"290","ST",79.8,-2.24,53.84,5.76
"291","FF",93.3,-1.82,53.52,5.94
"292","ST",80.6,-2.37,53.36,5.55
"293","ST",83.7,-2.47,53.47,5.53
"294","ST",83.3,-2.48,53.49,5.5
"295","FF",95.6,-2.17,53.54,5.62
"296","FF",95,-2.01,53.48,5.69
"297","FF",96,-2.04,53.44,5.68
"298","FF",96.2,-2.06,53.44,5.72
"299","ST",82.3,-2.54,53.66,5.56
"300","ST",84.5,-2.32,53.5,5.5
"301","FF",92.6,-2.22,53.53,5.77
"302","ST",82.5,-2.26,53.47,5.54
"303","FF",94.3,-1.88,53.31,5.81
"304","FF",96.1,-1.99,53.34,5.7
"305","ST",87.3,-2.4,53.33,5.31
"306","ST",86.3,-2.35,53.36,5.51
"307","FF",98.6,-2.01,53.38,5.77
"308","FF",99.3,-2.25,53.44,5.61
"309","FF",98.8,-2.2,53.41,5.67
"310","FF",97.8,-2.15,53.42,5.63
"311","ST",85.2,-2.44,53.34,5.45
"312","FF",95.2,-2.2,53.41,5.53
"313","ST",83.1,-2.5,53.3,5.45
"314","ST",83.8,-2.45,53.84,5.54
"315","FF",97.1,-2.1,53.3,5.47
"316","ST",84.4,-2.27,53.44,5.49
"317","ST",85,-2.36,53.69,5.48
"318","FF",97.5,-2.2,53.38,5.62
"319","ST",84.5,-2.28,53.39,5.55
"320","FF",95.8,-2.11,53.42,5.64
"321","ST",80,-2.03,53.59,5.74
"322","ST",81.6,-2.17,53.54,5.67
"323","ST",85.2,-2.58,53.61,5.48
"324","FF",93.6,-2.05,53.46,5.75
"325","FF",95.6,-2,53.32,5.73
"326","ST",82,-2.21,53.49,5.69
